Area,0,1,2,3,4,5,6,7,8,9,10,11,12
area_0,100,0,0,0,0,0,0,0,0,0,0,0,0
area_1,4,0,0,0,0,0,0,0,96,0,0,0,0
area_10,0,2,0,23,0,0,0,0,0,0,0,0,0
area_11,0,0,0,29,0,0,1,0,0,0,0,0,0
area_12,0,0,0,0,0,0,25,0,0,0,0,0,0
area_2,0,0,5,0,0,91,0,0,4,0,0,0,0
area_3,0,0,73,0,0,4,0,0,0,0,23,0,0
area_4,0,0,0,0,60,0,0,36,0,2,2,0,0
area_5,0,4,0,0,4,0,0,0,0,56,36,0,0
area_6,0,28,0,0,0,10,0,0,0,0,5,0,57
area_7,16,0,0,0,0,0,0,0,32,0,0,0,52
area_8,0,0,0,0,0,0,0,0,4,0,0,21,0
area_9,0,1,0,0,0,0,0,0,6,0,0,14,4
